12647,71973,24316,15088,23961,6473.5,21201,19134,2792.6,19191,1.4218e+05,9981.3,26658,2852.5,28100,3867.8,1.0715e+05,33177,29740,8678,3929.1,4102.7,40414,1.1772e+05,32652,87410,40866,8041.2,30321,43705,1451.4,26067,28702,14723,19249,56858,42222,30066,23192,10846,16265,17085,1317.1,58721,25344,17417,22575,39369,22126,4526,73274,19417,25326,11422,10828,28226,82444,1.014e+05,88378,53057,41859,20141,17719,30617,23201,27112,46227,58840
12136,19677,11816,13869,7064.2,5793.2,6308.6,9180.3,976.84,17181,55994,5563.6,17762,28355,27578,12808,33270,16656,5700.1,348.61,1719.1,17914,19612,50485,16077,21060,21599,6371.1,7171,13901,19725,26970,19728,31042,5183.4,31308,11617,2700.6,8579.9,1020.3,20022,3986.2,1616.2,12444,8384.1,2036.9,25687,18645,26679,2430.6,1045.3,33427,9284.4,3656.1,725.21,10643,17978,57696,10561,32440,14500,2612.8,15842,12831,4016.9,2532.8,20096,14223
6643.1,4650.2,38236,5486.4,8564,13733,3111.8,7251,8430.7,26200,42897,876.54,16484,2319.9,36462,9193.2,32618,1316.6,1196.5,1866.3,776.87,10686,24867,58314,47403,19855,28584,11357,9562.8,10607,1239.1,11944,14057,4547.8,10563,13994,50053,5286.5,8170.1,12756,5526.9,10997,2407.4,26857,18507,410.76,34156,17919,32692,9495.2,30130,3417.2,24443,8645.4,9982.1,4568.3,19547,53319,35987,21273,46288,17093,45650,16101,13655,7176.3,1283.2,16931
30205,21911,11934,2543.1,7144.2,3570.8,33253,29353,2425.2,25490,66057,2625.5,15068,56725,16448,11907,24448,35003,3595.4,946.17,10998,4333.7,21656,44707,27575,54775,25834,3568,9616,29357,18885,30119,12218,28374,2881.4,21386,11051,24147,10297,1767.6,8269.4,12105,2015.2,7973.7,59342,11797,11426,11424,17477,6793,32123,12255,11464,2113.6,3184.7,25837,5723.4,35286,12502,17731,18878,5232.3,9148.1,17776,6307.3,9518.1,8912.8,7813.2
17831,36685,4667.1,42163,5972.3,2956.6,10420,37305,3691.5,27654,65149,6268.8,30721,2403.3,37721,16035,3738.6,4623.6,14210,11496,2454.6,4700.3,53945,69880,31665,1749.4,31813,10164,4947.3,8342.3,9918.4,18304,10519,22408,5181.6,11882,18630,31278,26032,8401.8,40130,15671,26129,7739.6,60398,4683,18044,38274,33263,11697,10269,41711,5236.1,8089.6,3232.7,16564,25031,66240,25357,60351,39529,2515.8,8926,5008.4,3502.8,22380,14138,22573
2674.7,31655,50550,28771,13585,9121.4,9053.1,2336.5,636.52,11376,8653.5,6239.7,14430,13603,14445,5269.4,44327,12905,14067,6466.5,4703.3,21951,32863,50026,45378,31806,30888,7242.8,22660,15889,7574.7,6929.2,11832,4103.6,6067.7,31670,42755,15895,765.76,4815.1,15837,10526,13065,24108,42104,3646.1,17262,20993,13398,3017.6,83940,28292,21200,14727,3097.3,14742,58825,79887,60836,67446,12098,15168,24123,41429,5510.8,32179,14185,22229
12878,28101,3741,21786,7038.2,4350.3,3922.4,2775.3,6170.8,12317,6626.9,4493.6,5135.7,14165,3693,9058,14414,4031,13476,3613.4,844.66,17303,16996,5216.3,18080,7332.2,14036,7897.7,14296,15642,11794,16020,6759.3,18866,4871.3,2993.9,14578,14619,6964.9,860.54,6163.1,8771,3055.5,842.65,11552,963.8,3055.5,5462.4,3108.1,4871.5,1815.7,2997.6,4849.9,2739.5,3209.8,3812.2,16094,5448.9,19213,231.46,5951.6,3090.3,3907.3,8585.1,4247.7,9027.7,5614.4,10911
16972,15188,10147,26415,23586,2445.9,3046,4428,10961,32439,72727,2099.2,14846,7044.1,19262,4011.3,33140,937.73,3062.3,1883.7,3987.8,6859.1,38658,63384,34092,32990,24176,6881.1,2660,21539,24411,42219,17027,36851,20231,20643,11783,17061,17080,2272.3,25998,3017.7,17050,17839,46229,2918.4,9468.3,25346,16954,7410.7,18678,8742.5,7109.7,2553,4015.5,12985,25843,51323,16987,25531,27356,8930.4,9886.2,14926,6479.1,13776,13607,16180
6054,22546,26034,5949.9,11885,1197.5,1064.3,5766,5779,10013,10659,1666.5,9653.8,10419,16548,3463,39372,1820.4,7897.6,4556,6281.1,10199,16878,8352.2,28997,16819,16325,6731.5,17303,12701,9310.9,9512.8,10426,12212,3759.6,27371,37293,10746,676.66,2466.7,8627.7,10306,4788.8,11706,16901,1244.4,12090,8260.9,7137,5215.4,42663,9373.7,13800,1485.1,3298.8,7750.3,36563,49148,41794,19539,15602,5818.2,34047,14507,153.32,18543,2654.1,8130
10627,24838,11529,10211,3426.9,5056.5,15610,934.72,3688.4,20926,39012,3202.4,12752,30615,16309,3008,15314,5786.3,1886.1,3021.1,1458.6,21836,16878,25942,15087,34250,6510.9,3794.4,13719,18261,7938.4,11376,9237.2,16081,4617.2,23323,10044,8458.8,11195,6402.4,22514,6311,11200,12130,24662,2288.5,13978,27667,15340,8008.1,33629,21467,4397.8,523.83,1606.8,12588,9019,22802,12851,26332,13417,6107.4,10053,18384,9944.9,14768,7615.4,138.15
13199,56143,34861,11106,8674.7,1389,10472,8233.9,1055.4,29729,38346,1577.3,10186,3615.7,10315,2044.8,51308,23162,29396,3379.2,2970.2,4937.5,32016,80168,41826,20896,50971,12124,16708,12831,13666,17760,5859.6,23939,343.98,21700,24706,2645.3,12217,874.27,14348,6358.6,8260.7,18915,32313,4424.8,11016,17375,12678,6179.7,21550,20636,1767.7,6040.7,9513.8,4123.3,31544,71540,38989,23073,46897,17489,15865,9867.1,5499.4,1018,12038,10588
6680.4,5726.6,10993,12433,4500.2,4896.4,11849,4333.3,7779,18036,21359,2189.3,2247.7,12617,11613,5605.7,17222,12093,6875,2870.4,5444.5,11513,21561,25043,24586,19808,2127.4,1461.9,21482,12499,10093,17174,2945.3,12694,2037.9,21329,19430,10231,7759.7,2783.5,3453.9,1133.6,5593.8,10174,18989,4264.2,8255.9,16662,8161.2,4323.7,21309,2681.4,16454,6118.3,9372.3,10716,18762,24954,6580,15963,20241,6000.4,16249,8858.2,5983.1,20408,5226.3,1706
10776,21568,3588,19594,16174,1945.6,26724,6455.3,9520,8875.7,81832,5021.4,14800,44797,2932.1,2178.8,11063,30200,976.66,2710,1331,19441,3368.1,30415,4236.1,36346,19407,3064.8,5069.2,7004.4,8790.8,8405.6,13960,3849.9,25100,11942,2972.2,15412,25242,316.68,9178.6,22753,28464,25746,57184,7819.8,5908.1,51705,8271,1219.8,5698.2,52067,7663.7,1718.6,4469.7,25158,4347.9,23297,4582.9,45557,5523.2,3718.9,6608.9,1202.5,1118.5,28438,22996,22749
15131,18113,6300.4,15805,18838,4586.6,26490,12941,7657,15179,33764,916.69,14520,23439,18725,2507.3,19791,35191,740.32,2778.5,728.22,23966,19563,28524,15621,5540.2,10803,4452.9,5530.1,10924,2927.8,12211,12860,28510,7388.6,12729,8120.9,13742,16863,4940.9,32570,9776,16442,23065,45546,6139.5,16047,32428,11319,8255.9,3002.7,35946,15155,3442.5,1196.2,15957,28536,18237,17872,15530,8385.1,578.32,4913.9,5815.8,5504.4,20191,19782,6654.2
14854,16089,22614,66203,5800.4,3234.8,19335,28971,6884.6,44214,7063,11081,569.71,46711,16530,3205.4,2827.6,13362,47677,5140.9,27338,15902,20720,16108,21979,42663,21694,7005.6,10486,39176,10192,50280,6602.7,10020,37186,41412,24321,59995,7004.1,3732,7211.7,74003,14375,16885,24637,7964.7,11203,58240,7477,20391,66586,4705.2,20409,7195.9,13306,71070,86229,1.0647e+05,87357,82460,29104,22422,18019,18891,16811,50654,5762.3,29507
1907.6,38096,15920,16617,14374,886.92,2875,2775.4,2944.6,2485.7,30297,889.15,2100.8,23550,13940,9262.4,52772,4963.2,2906.5,1932.4,7344,7358.7,38007,54606,39262,17371,29029,9297.4,21282,10829,723.18,15500,10139,21861,7980.9,33443,15980,15622,11814,4804.2,14342,2951.3,7152.8,16094,22225,622.77,14686,18071,14301,6569.9,49889,14956,4021,6415.3,7118.3,14054,22579,45561,11926,21657,25865,6791.6,4071.3,5457.5,11414,6486.1,7608.8,4165.2
24197,60153,64758,11691,21119,1119.7,9055.4,23470,5227.7,55000,85860,4797.7,28492,24206,43766,23025,77933,6049.8,23332,2137.1,22144,32366,77562,1.0799e+05,61765,65231,22045,16072,29238,31839,10676,60872,23941,63355,5904.1,61926,4150.8,23719,18536,7016.8,24468,27492,15986,47337,72235,1334.8,42644,56295,41351,9482.2,83418,2721.1,2207.3,6290.7,17968,26923,70421,1.0152e+05,77888,60297,15828,4188.5,22952,40691,18403,17020,25686,4676.7
17723,28761,20953,32831,16692,3207.9,15693,12065,4900.3,38529,33572,7912.7,22703,52811,41179,7801.9,48567,1356.3,5211.7,9611.9,1695.8,15011,49141,88264,44140,36743,47116,8301.5,10842,15498,15795,22141,12734,28319,21072,30625,13013,32842,16575,2268.1,30628,34332,35174,9799.7,6515,17134,15594,33909,13678,4375,46030,17923,8166.4,875.04,2330.2,30195,37277,61408,30356,53262,37561,1782.4,8025.2,21912,8891.2,24226,21810,41325
9297.4,17793,3243.6,10233,8788.9,3502.7,6145.9,6257.1,2133,9953.2,16249,3058.2,4819.2,14579,5226.6,2126.8,39504,5514.6,8932,2245,2627,10443,8577.3,28811,20220,15979,10174,4946.4,16586,13033,5528.3,9965.3,3758.5,10427,22497,23003,33397,8922.5,2083.9,3603.6,9426.3,2021.4,6026.9,9892,19417,6798.8,3361.4,13429,7692.2,8539.2,44772,11167,17135,3972.2,6076.8,9236,57874,33333,43232,22627,16044,9974.2,1997.1,13485,12262,30367,3182.5,30489
11583,20145,16687,3526.9,3639.9,4749.5,2839.2,7626.8,1977.9,15566,18891,2622.6,10649,13133,13897,406.95,27354,6634.2,6982.3,2461.5,1722.6,10976,21366,43193,28100,9494.2,15817,4667.9,11767,10021,4899.3,13617,7822,17965,3695.2,18239,14440,8775,8953,5095.9,7827.6,4597,3061.7,23140,20515,3200.7,9643.7,10698,11730,1485.1,19956,9345.2,8670.7,4289.5,4223.1,4271.4,23397,37921,22804,4167.5,14426,3687.8,10577,2729,6294.2,11155,11618,19614
